Title,Subtitle,DateTime
EDUCATION AND TRAINING AMENDMENT BILL (NO 2),Third Reading,2022-07-27 16:26:44
OVERSIGHT OF ORANGA TAMARIKI SYSTEM AND CHILDREN AND YOUNG PEOPLE'S COMMISSION BILL,Second Reading,2022-07-27 17:33:40
OVERSIGHT OF ORANGA TAMARIKI SYSTEM AND CHILDREN AND YOUNG PEOPLE'S COMMISSION BILL,Second Reading,2022-07-27 19:00:22
ACCIDENT COMPENSATION (MATERNAL BIRTH INJURY AND OTHER MATTERS) AMENDMENT BILL,Second Reading,2022-07-27 20:20:44
DATA AND STATISTICS BILL,In Committee,2022-07-27 21:33:04
BY-ELECTION,New Zealand Labour—Daniel Rosewarne,2022-07-26 14:00:49
OBITUARIES,Hon Bruce Windsor Cliffe ,2022-07-26 14:02:50
URGENT DEBATES DECLINED,School Truancy—Release of Attendance Data,2022-07-26 15:09:23
EDUCATION AND TRAINING AMENDMENT BILL (NO 2),In Committee,2022-07-26 15:10:17
AOTEAROA NEW ZEALAND PUBLIC MEDIA BILL,First Reading,2022-07-26 16:24:11
SMOKEFREE ENVIRONMENTS AND REGULATED PRODUCTS (SMOKED TOBACCO) AMENDMENT BILL,First Reading,2022-07-26 16:45:05
UNITED KINGDOM FREE TRADE AGREEMENT LEGISLATION BILL,First Reading,2022-07-26 19:04:24
FOREIGN AFFAIRS (CONSULAR LOANS) AMENDMENT BILL,First Reading,2022-07-26 20:39:11
DIGITAL IDENTITY SERVICES TRUST FRAMEWORK BILL,Second Reading,2022-07-26 21:20:49
PARLIAMENTARY SERVICE COMMISSION,Membership,2022-06-30 14:52:53
ELECTORAL (MĀORI ELECTORAL OPTION) LEGISLATION BILL,First Reading,2022-06-30 14:53:21
AOTEAROA NEW ZEALAND PUBLIC MEDIA BILL,First Reading,2022-06-30 16:04:26
CANTERBURY REGIONAL COUNCIL (NGĀI TAHU REPRESENTATION) BILL,In Committee,2022-06-29 15:54:37
PALMERSTON NORTH RESERVES EMPOWERING AMENDMENT BILL,Second Reading,2022-06-29 19:24:45
CHILD PROTECTION (CHILD SEX OFFENDER GOVERNMENT AGENCY REGISTRATION) (OVERSEAS TRAVEL REPORTING) AMENDMENT BILL,First Reading,2022-06-29 21:11:36
OBITUARIES,William Rex Austin MBE,2022-06-22 11:52:08
IMPREST SUPPLY (FIRST FOR 2022/23) BILL,Introduction,2022-06-28 15:00:01
IMPREST SUPPLY (FIRST FOR 2022/23) BILL,First Reading,2022-06-28 15:00:11
IMPREST SUPPLY (FIRST FOR 2022/23) BILL,Second Readings,2022-06-28 15:01:40
APPROPRIATION (2021/22 SUPPLEMENTARY ESTIMATES) BILL,Third Reading,2022-06-28 17:03:01
IMPREST SUPPLY (FIRST FOR 2022/23) BILL,Third Reading,2022-06-28 17:04:02
COVID-19 PUBLIC HEALTH RESPONSE ACT 2020,Continuation,2022-06-28 17:05:10
COVID-19 ORDERS,Approval,2022-06-28 17:20:37
COMMERCE (GROCERY SECTOR COVENANTS) AMENDMENT BILL,Third Reading,2022-06-28 19:07:50
VOTING,Correction—Approval of COVID-19 Orders,2022-06-28 19:14:47
COMMERCE (GROCERY SECTOR COVENANTS) AMENDMENT BILL,Third Reading,2022-06-28 19:15:08
FINANCIAL MARKETS (CONDUCT OF INSTITUTIONS) AMENDMENT BILL,Third Reading,2022-06-28 20:07:29
LOCAL ELECTORAL (ADVERTISING) AMENDMENT BILL,Second Reading,2022-06-28 20:25:05
COMMERCE (GROCERY SECTOR COVENANTS) AMENDMENT BILL,In Committee,2022-06-23 14:55:34
FINANCIAL MARKETS (CONDUCT OF INSTITUTIONS) AMENDMENT BILL,Third Reading,2022-06-23 15:50:51
STANDING ORDERS,Sessional,2022-06-22 15:58:12
SUPPORT WORKERS (PAY EQUITY) SETTLEMENTS AMENDMENT BILL,First Reading,2022-06-22 16:00:53
COMMERCE (GROCERY SECTOR COVENANTS) AMENDMENT BILL,In Committee,2022-06-22 21:43:27
OBITUARIES,Richard Prosser,2022-06-21 14:01:08
RESIGNATIONS,"Hon Kris Faafoi, New Zealand Labour",2022-06-21 14:02:19
AMENDED ANSWERS TO ORAL QUESTIONS,"Question No. 7 to Minister, 8 June 2022",2022-06-21 14:05:17
MEDICINES AMENDMENT BILL (NO 2),Second Reading,2022-06-21 15:20:20
COMMERCE (GROCERY SECTOR COVENANTS) AMENDMENT BILL,Second Reading,2022-06-21 16:50:42
FINANCIAL MARKETS (CONDUCT OF INSTITUTIONS) AMENDMENT BILL,In Committee,2022-06-21 17:51:04
FORESTS (LEGAL HARVEST ASSURANCE) AMENDMENT BILL,First Reading,2022-06-21 20:05:25
COMPANIES (LEVIES) AMENDMENT BILL,First Reading,2022-06-21 21:11:39
WATER SERVICES ENTITIES BILL,First Reading,2022-06-09 14:55:07
MOTIONS,"New Zealand Nuclear Free Zone, Disarmament, and Arms Control Act 1987—35th Anniversary",2022-06-08 14:00:54
CANTERBURY REGIONAL COUNCIL (NGĀI TAHU REPRESENTATION) BILL,Second Reading,2022-06-08 15:53:19
TE TURE WHENUA MĀORI BILL,First Reading,2022-06-08 17:52:50
FINANCIAL PROFESSIONAL SERVICES TRADING ADVICE TRANSPARENCY BILL,First Reading,2022-06-08 19:57:22
SALE AND SUPPLY OF ALCOHOL (EXEMPTION FOR RACE MEETINGS) AMENDMENT BILL ,First Reading,2022-06-08 21:01:44
MOTIONS,Her Majesty Queen Elizabeth II—Platinum Jubilee,2022-06-07 14:07:41
APPROPRIATION (2021/22 SUPPLEMENTARY ESTIMATES) BILL,First Reading,2022-06-07 15:10:10
COVID-19 ORDERS,Approval,2022-06-07 15:11:50
PAE ORA (HEALTHY FUTURES) BILL,Third Reading,2022-06-07 15:45:23
LOCAL ELECTORAL (ADVERTISING) AMENDMENT BILL,First Reading,2022-06-07 17:16:13
MEDICINES AMENDMENT BILL (NO 2),Introduction,2022-06-07 19:00:31
OVERSEAS INVESTMENT (FORESTRY) AMENDMENT BILL,First Reading,2022-06-07 20:08:08
THREE STRIKES LEGISLATION REPEAL BILL,Second Reading,2022-06-07 21:19:32
SPECIAL DEBATE,Inquiry into school attendance—Report of the Education and Workforce Committee,2022-06-02 14:49:10
PAE ORA (HEALTHY FUTURES) BILL,In Committee,2022-06-02 15:51:13
THREE STRIKES LEGISLATION REPEAL BILL,Second Reading,2022-06-02 16:00:26
PAE ORA (HEALTHY FUTURES) BILL,In Committee,2022-06-01 15:43:47
VISITORS,Australia—Parliament of Victoria,2022-05-31 14:01:31
OBITUARIES,Hon Stanley (Stan) Joseph Rodger,2022-05-31 14:02:01
TAXATION (COST OF LIVING PAYMENTS) BILL,In Committee,2022-05-20 09:00:40
INCOME INSURANCE SCHEME (ENABLING DEVELOPMENT) BILL,First Reading,2022-05-20 10:21:45
COMMERCE (GROCERY SECTOR COVENANTS) AMENDMENT BILL,First Reading,2022-05-20 14:06:27
COMPANIES OFFICE REGISTERS FUNDING VALIDATION BILL,First Reading,2022-05-20 14:40:28
CUSTOMS AND EXCISE (TOBACCO PRODUCTS) AMENDMENT BILL,First Reading,2022-05-20 15:19:17
CORONERS (CORONIAL CAP) AMENDMENT BILL,First Reading,2022-05-20 16:13:45
APPROPRIATION (2022/23 ESTIMATES) BILL,Introduction,2022-05-19 14:05:25
BUDGET STATEMENT,Second Reading,2022-05-19 14:05:37
TAXATION (COST OF LIVING PAYMENTS) BILL,First Reading,2022-05-19 16:28:00
LOCAL GOVERNMENT (PECUNIARY INTERESTS REGISTER) AMENDMENT BILL,Third Reading,2022-05-18 16:10:17
IMPROVING ARRANGEMENTS FOR SURROGACY BILL,First Reading,2022-05-18 17:11:46
CRIMINAL PROCEEDS (RECOVERY) (DEFINITION OF SIGNIFICANT CRIMINAL ACTIVITY) AMENDMENT BILL,First Reading,2022-05-18 19:00:35
EDUCATION AND TRAINING (FREEDOM OF EXPRESSION) AMENDMENT BILL,First Reading,2022-05-18 20:02:13
EMPLOYMENT RELATIONS (EXTENDED TIME FOR PERSONAL GRIEVANCE FOR SEXUAL HARASSMENT) AMENDMENT BILL,First Reading,2022-05-18 21:05:58
MINISTERIAL STATEMENTS,Climate Change Response Act 2002—Statutory Emissions Reduction Plan,2022-05-17 14:02:31
COVID-19 ORDERS,Approval,2022-05-17 15:20:29
HAZARDOUS SUBSTANCES AND NEW ORGANISMS (HAZARDOUS SUBSTANCES ASSESSMENTS) AMENDMENT BILL,Second Reading,2022-05-17 15:54:54
MARITIME POWERS BILL,Third Reading,2022-05-17 16:19:15
ELECTRICITY INDUSTRY AMENDMENT BILL,Second Reading,2022-05-17 17:13:16
DATA AND STATISTICS BILL,Second Reading,2022-05-17 19:20:46
EDUCATION AND TRAINING AMENDMENT BILL (NO 2),Second Reading,2022-05-17 20:31:27
DIGITAL IDENTITY SERVICES TRUST FRAMEWORK BILL,Second Reading,2022-05-17 21:35:40
OBITUARIES,Hon Dr Richard Worth,2022-05-12 14:01:00
CROWN PASTORAL LAND REFORM BILL,Third Reading,2022-05-12 14:56:51
FINANCIAL MARKETS (CONDUCT OF INSTITUTIONS) AMENDMENT BILL,Second Reading,2022-05-12 16:23:30
SPECIAL DEBATES,Inquiry on the Natural and Built Environments Bill—Report of the Environment Committee,2022-05-12 09:00:30
NEW ZEALAND BILL OF RIGHTS (DECLARATIONS OF INCONSISTENCY) AMENDMENT BILL,Second Reading,2022-05-12 11:03:13
HAZARDOUS SUBSTANCES AND NEW ORGANISMS (HAZARDOUS SUBSTANCES ASSESSMENTS) AMENDMENT BILL,Second Reading,2022-05-12 12:21:43
VOTING,Correction—Crown Pastoral Land Reform Bill,2022-05-11 15:04:13
NGĀTI KAHUNGUNU KI WAIRARAPA TĀMAKI NUI-Ā-RUA CLAIMS SETTLEMENT BILL,First Reading,2022-05-11 16:07:29
RETAIL PAYMENT SYSTEM BILL,Third Reading,2022-05-11 19:00:18
MARITIME POWERS BILL,In Committee,2022-05-11 20:07:27
ANIMAL WELFARE AMENDMENT BILL,Second Reading,2022-05-11 20:26:10
FINANCIAL MARKETS (CONDUCT OF INSTITUTIONS) AMENDMENT BILL,Second Reading,2022-05-11 21:46:58
APPOINTMENTS,Clerk of the House of Representatives,2022-05-10 14:01:28
SPEAKER'S STATEMENTS,"Chamber, Lobbies, and Galleries—Members, Mask Exemption",2022-05-10 14:03:36
OFFICES OF PARLIAMENT,Address to Governor-General,2022-05-10 15:12:06
PROTECTED DISCLOSURES (PROTECTION OF WHISTLEBLOWERS) BILL,Third Reading,2022-05-10 15:13:03
PLANT VARIETY RIGHTS BILL,Second Reading,2022-05-10 15:41:25
RETAIL PAYMENT SYSTEM BILL,In Committee,2022-05-10 17:27:43
CROWN PASTORAL LAND REFORM BILL,In Committee,2022-05-10 19:19:29
MARITIME POWERS BILL,In Committee,2022-05-10 21:35:32
VOTING,Correction—Plant Variety Rights Bill,2022-05-10 21:57:50
MOTIONS,Misuse of Drugs (Classification and Presumption of Supply Order 2022—Approval,2022-05-05 15:06:38
FISHERIES AMENDMENT BILL,First Reading,2022-05-05 15:24:22
PAE ORA (HEALTHY FUTURES) BILL,Second Reading,2022-05-05 16:34:55
PROTECTED DISCLOSURES (PROTECTION OF WHISTLEBLOWERS) BILL,Third Reading,na
URGENT DEBATES DECLINED,Parliamentary Precinct—Issuance of Trespass Notices,2022-05-04 14:56:41
HUMAN RIGHTS (DISABILITY ASSIST DOGS NON-DISCRIMINATION) AMENDMENT BILL,Third Reading,2022-05-04 16:07:09
SPEAKER'S STATEMENTS,Gallery—Wearing Masks,2022-05-04 17:40:20
HUMAN RIGHTS (DISABILITY ASSIST DOGS NON-DISCRIMINATION) AMENDMENT BILL,Third Reading,2022-05-04 19:19:24
UNIT TITLES (STRENGTHENING BODY CORPORATE GOVERNANCE AND OTHER MATTERS) AMENDMENT BILL,Third Reading,2022-05-04 19:36:18
LOCAL GOVERNMENT (PECUNIARY INTERESTS REGISTER) AMENDMENT BILL,Third Reading,2022-05-04 21:20:23
OBITUARIES,Ian Brooks,2022-05-03 14:04:27
AMENDED ANSWERS TO ORAL QUESTIONS,"Question No. 10 to Minister, 9 February",2022-05-03 14:05:23
URGENT DEBATES DECLINED,Disability Commissioner—Report on Support for Disabled People and Whānau during Omicron,2022-05-03 15:12:47
ANNUAL REVIEW DEBATE,In Committee,2022-05-03 15:14:00
APPROPRIATION (2020/21 CONFIRMATION AND VALIDATION) BILL,Third Reading,2022-05-03 20:28:16
PAE ORA (HEALTHY FUTURES) BILL,Second Reading,2022-05-03 20:28:50
MOTIONS,Matatini—50th Anniversary,2022-04-14 14:01:04
URGENT DEBATES DECLINED,Supreme Court—Extradition Judgment,2022-04-14 14:58:11
APPOINTMENTS,Parliamentary Commissioner for the Environment,2022-04-14 15:00:47
OFFICES OF PARLIAMENT,Address to Governor-General,2022-04-14 15:01:39
COVID-19 ORDERS,Approval,2022-04-14 15:05:10
COVID-19 RESPONSE (COURTS SAFETY) LEGISLATION BILL,Third Reading,2022-04-14 15:42:16
HUMAN RIGHTS (DISABILITY ASSIST DOGS NON-DISCRIMINATION) AMENDMENT BILL,In Committee,2022-04-14 09:01:59
UNIT TITLES (STRENGTHENING BODY CORPORATE GOVERNANCE AND OTHER MATTERS) AMENDMENT BILL,In Committee,2022-03-09 09:48:17
LOCAL GOVERNMENT (PECUNIARY INTERESTS REGISTER) AMENDMENT BILL,In Committee,2022-04-14 10:51:53
PUBLIC FINANCE (PROHIBITION ON PROVIDING PUBLIC FUNDS TO GANGS) AMENDMENT BILL,First Reading,2022-04-14 12:04:15
IMPROVING ARRANGEMENTS FOR SURROGACY BILL,First Reading,2022-04-14 12:40:46
MOTIONS,Poppy Day—Centenary,2022-04-13 14:01:27
ANNUAL REVIEW DEBATE,In Committee,2022-04-13 17:03:20
COVID-19 RESPONSE (COURTS SAFETY) LEGISLATION BILL,In Committee,2022-04-13 20:37:36
ANNUAL REVIEW DEBATE,In Committee,2022-04-12 14:55:44
COVID-19 RESPONSE (COURTS SAFETY) LEGISLATION BILL,Second Reading,2022-04-12 19:00:44
RETAIL PAYMENT SYSTEM BILL,Second Reading,2022-04-12 20:10:44
PROTECTED DISCLOSURES (PROTECTION OF WHISTLEBLOWERS) BILL,Third Reading,2022-04-12 21:17:58
TE PIRE MŌ TE HARAREI TŪMATANUI O TE KĀHUI O MATARIKI/TE KĀHUI O MATARIKI PUBLIC HOLIDAY BILL,Third Reading,2022-04-07 15:02:42
MAORI COMMERCIAL AQUACULTURE CLAIMS SETTLEMENT AMENDMENT BILL,Third Reading,2022-04-07 16:43:06
ROTORUA DISTRICT COUNCIL (REPRESENTATION ARRANGEMENTS) BILL,First Reading,2022-04-06 16:03:20
UNIT TITLES (STRENGTHENING BODY CORPORATE GOVERNANCE AND OTHER MATTERS) AMENDMENT BILL,Second Reading,2022-04-06 17:15:59
HUMAN RIGHTS (DISABILITY ASSIST DOGS NON-DISCRIMINATION) AMENDMENT BILL,Second Reading,2022-04-06 17:28:04
SPEAKER'S STATEMENTS,Privilege—Freedom of Speech in the House,2022-04-06 17:56:37
HUMAN RIGHTS (DISABILITY ASSIST DOGS NON-DISCRIMINATION) AMENDMENT BILL,Second Reading,2022-04-06 17:58:10
LOCAL GOVERNMENT (PECUNIARY INTERESTS REGISTER) AMENDMENT BILL,Second Reading,2022-04-06 19:59:15
PUBLIC FINANCE (PROHIBITION ON PROVIDING PUBLIC FUNDS TO GANGS) AMENDMENT BILL,First Reading,2022-04-06 21:29:59
ROAD USER CHARGES (TEMPORARY RUC REDUCTION SCHEME) AMENDMENT BILL,Third Reading,2022-04-06 09:00:18
OBITUARIES,Sir Robert McDowall (Robin) Gray,2022-04-05 14:00:48
FAIR PAY AGREEMENTS BILL,First Reading,2022-04-05 15:04:06
ROAD USER CHARGES (TEMPORARY RUC REDUCTION SCHEME) AMENDMENT BILL,First Reading,2022-04-05 17:02:59
OBITUARIES,Dr Moana Jackson,2022-03-31 14:06:52
INCORPORATED SOCIETIES BILL,Third Reading,2022-03-31 15:00:39
MĀORI COMMERCIAL AQUACULTURE CLAIMS SETTLEMENT AMENDMENT BILL,Third Reading,2022-03-31 16:28:36
APPROPRIATION (2020/21 CONFIRMATION AND VALIDATION) BILL,Second Reading,2022-03-30 15:57:49
APPOINTMENTS,Chief Electoral Officer,2022-03-30 15:59:52
TE ROHE O RONGOKAKO JOINT REDRESS BILL,First Reading,2022-03-30 16:00:30
TE PIRE MŌ TE HARAREI TŪMATANUI O TE KĀHUI O MATARIKI/TE KĀHUI O MATARIKI PUBLIC HOLIDAY BILL,In Committee,2022-03-30 17:36:50
NATURAL HAZARDS INSURANCE BILL,First Reading,2022-03-30 19:46:46
COMMERCE AMENDMENT BILL,Third Reading,2022-03-30 20:56:36
INCORPORATED SOCIETIES BILL,Third Reading,2022-03-30 21:49:35
MOTIONS,"Academy Award, Congratulations—Dame Jane Campion",2022-03-29 14:00:58
RESIGNATIONS,"Louisa Wall, New Zealand Labour",2022-03-29 14:01:44
APPROPRIATION (2020/21 CONFIRMATION AND VALIDATION) BILL,First Reading,2022-03-29 15:12:45
NGĀTI MARU (TARANAKI) CLAIMS SETTLEMENT BILL,Third Reading,2022-03-29 15:13:05
"TAXATION (ANNUAL RATES FOR 2021-22, GST, AND REMEDIAL MATTERS) BILL",Third Reading,2022-03-29 17:04:16
TE PIRE MŌ TE HARAREI TŪMATANUI O TE KĀHUI O MATARIKI/TE KĀHUI O MATARIKI PUBLIC HOLIDAY BILL,Second Reading,2022-03-29 19:38:24
COVID-19 ORDERS,Approval,2022-03-29 21:17:28
NATURAL HAZARDS INSURANCE BILL,First Reading,2022-03-29 21:45:27
"TAXATION (ANNUAL RATES FOR 2021-22, GST, AND REMEDIAL MATTERS) BILL",In Committee,2022-03-17 14:58:48
MAORI COMMERCIAL AQUACULTURE CLAIMS SETTLEMENT AMENDMENT BILL,In Committee,2022-03-17 16:26:54
COMMERCE AMENDMENT BILL,Third Reading,2022-03-17 16:35:31
MOTIONS,New Zealand Winter Paralympics Team 2022—Congratulations,2022-03-16 14:00:53
SPEAKER'S STATEMENTS,Parliament Grounds—Reopening Ceremony,2022-03-16 14:14:20
PAIGE HARRIS BIRTH REGISTRATION BILL,Second Reading,2022-03-16 16:29:47
"CONTRACEPTION, STERILISATION, AND ABORTION (SAFE AREAS) AMENDMENT BILL",Third Reading,2022-03-16 17:32:16
BIOSECURITY (INFORMATION FOR INCOMING PASSENGERS) AMENDMENT BILL,Second Reading,2022-03-16 20:11:47
UNIT TITLES (STRENGTHENING BODY CORPORATE GOVERNANCE AND OTHER MATTERS) AMENDMENT BILL,Second Reading,2022-03-16 20:23:33
MOTIONS,Christchurch Terror Attacks—Third Anniversary,2022-03-15 14:00:43
SPEAKER'S STATEMENTS,Question Time—Remote Participation,2022-03-15 14:39:57
NGĀTI RANGITIHI CLAIMS SETTLEMENT BILL,,2022-03-15 15:42:19
COVID-19 RESPONSE (COURTS SAFETY) LEGISLATION BILL,Instruction to Justice Committee,2022-03-15 17:29:10
"TAXATION (ANNUAL RATES FOR 2021–22, GST, AND REMEDIAL MATTERS) BILL",In Committee,2022-03-15 17:34:07
VOTING,Correction—COVID-19 Response (Courts Safety) Legislation Bill,2022-03-15 21:57:50
COVID-19 RESPONSE (COURTS SAFETY) LEGISLATION BILL,First Reading,2022-03-10 15:08:27
COVID-19 RESPONSE (COURTS SAFETY) LEGISLATION BILL,Instruction to Justice Committee,2022-03-10 16:28:14
RUSSIA SANCTIONS BILL,First Reading,2022-03-09 17:07:17
"TAXATION (ANNUAL RATES FOR 2021-22, GST, AND REMEDIAL MATTERS) BILL",Second Reading,2022-03-08 15:18:43
LAND TRANSPORT (DRUG DRIVING) AMENDMENT BILL,Third Reading,2022-03-08 17:13:22
STATUTES AMENDMENT BILL,First Reading,2022-03-08 17:39:49
SPEAKER'S RULINGS,Remote Participation—Calling for a Party Vote,2022-03-08 17:40:07
STATUTES AMENDMENT BILL,First Reading,2022-03-08 17:40:49
VOTING,Correction—Land Transport (Drug Driving) Amendment Bill,2022-03-08 17:43:57
STATUTES AMENDMENT BILL,First Reading,2022-03-08 17:45:25
COMMERCE AMENDMENT BILL,In Committee,2022-03-08 19:26:56
PROTECTED DISCLOSURES (PROTECTION OF WHISTLEBLOWERS) BILL,In Committee,2022-03-08 20:30:55
VOTING,Correction—Commerce Amendment Bill,2022-03-08 21:22:22
PROTECTED DISCLOSURES (PROTECTION OF WHISTLEBLOWERS) BILL,In Committee,2022-03-08 21:22:53
INCORPORATED SOCIETIES BILL,In Committee,2022-03-08 21:27:22
MOTIONS,New Zealand Parliament—Occupation of Grounds,2022-03-03 14:03:07
MOTIONS,New Zealand Winter Olympic Team 2022—Congratulations,2022-03-02 14:01:40
URGENT DEBATES DECLINED,"COVID-19 Response—Testing, Processing Delays",2022-03-02 15:18:22
HARMFUL DIGITAL COMMUNICATIONS (UNAUTHORISED POSTING OF INTIMATE VISUAL RECORDING) AMENDMENT BILL,Third Reading,2022-03-02 16:21:11
SUNSCREEN (PRODUCT SAFETY STANDARD) BILL,Third Reading,2022-03-02 19:00:36
SPEAKER'S STATEMENTS,Remote Sittings—Seeking the Call,2022-03-02 20:29:36
"CONTRACEPTION, STERILISATION, AND ABORTION (SAFE AREAS) AMENDMENT BILL",In Committee,2022-03-02 20:30:51
BIOSECURITY (INFORMATION FOR INCOMING PASSENGERS) AMENDMENT BILL,Second Reading,2022-03-02 20:39:45
BIOSECURITY (INFORMATION FOR INCOMING PASSENGERS) AMENDMENT BILL,Second Reading,2022-03-02 21:03:28
MOTIONS,Ukraine—Russian Invasion,2022-03-01 14:01:42
SPEAKER'S STATEMENTS,Photography in the Chamber—Remote Sittings,2022-03-01 14:28:47
APPOINTMENTS,Assistant Speaker,2022-03-01 15:41:44
COVID-19 ORDERS,Approval,2022-03-01 15:46:30
NGĀTI RANGITIHI CLAIMS SETTLEMENT BILL,Second Reading,2022-03-01 16:38:19
NGĀTI MARU (TARANAKI) CLAIMS SETTLEMENT BILL,Second Reading,2022-03-01 19:00:34
MARITIME POWERS BILL,Second Reading,2022-03-01 20:23:13
LAND TRANSPORT (DRUG DRIVING) AMENDMENT BILL,Third Reading,2022-03-01 20:59:05
STANDING ORDERS,Sessional,2022-02-17 15:02:16
LAND TRANSPORT (CLEAN VEHICLES) AMENDMENT BILL,Third Reading,2022-02-17 15:22:10
MARITIME POWERS BILL,Second Reading,2022-02-17 16:37:40
INTELLIGENCE AND SECURITY COMMITTEE,Membership,2022-02-16 17:53:27
COVID-19 ORDERS,Approval,2022-02-16 17:53:56
LAND TRANSPORT (CLEAN VEHICLES) AMENDMENT BILL,In Committee,2022-02-16 19:26:25
LAND TRANSPORT (DRUG DRIVING) AMENDMENT BILL,In Committee,2022-02-16 21:12:15
CROWN PASTORAL LAND REFORM BILL,In Committee,2022-02-16 21:30:26
PAIGE HARRIS BIRTH REGISTRATION BILL,First Reading,2022-02-16 09:00:17
HARMFUL DIGITAL COMMUNICATIONS (UNAUTHORISED POSTING OF INTIMATE VISUAL RECORDING) AMENDMENT BILL,In Committee,2022-02-16 09:28:51
SUNSCREEN (PRODUCT SAFETY STANDARD) BILL,In Committee,2022-02-16 09:34:46
"CONTRACEPTION, STERILISATION, AND ABORTION (SAFE AREAS) AMENDMENT BILL",Second Reading,2022-02-16 09:45:58
LAWYERS AND CONVEYANCERS (EMPLOYED LAWYERS PROVIDING FREE LEGAL SERVICES) AMENDMENT BILL,Second Reading,2022-02-16 11:02:23
PLAIN LANGUAGE BILL,First Reading,2022-02-16 12:34:27
OBITUARIES,Hon Peter Neilson,2022-02-15 14:00:28
URGENT DEBATES DECLINED,"COVID-19 Mandate Protest, Wellington—Speaker's Response",2022-02-15 14:59:54
CONVERSION PRACTICES PROHIBITION LEGISLATION BILL,Third Reading,2022-02-15 18:59:56
LAND TRANSPORT (CLEAN VEHICLES) AMENDMENT BILL,In Committee,2022-02-15 20:39:28
LAND TRANSPORT (CLEAN VEHICLES) AMENDMENT BILL,Second Reading,2022-02-10 15:48:50
MARITIME POWERS BILL,Second Reading,2022-02-10 16:28:17
MOTIONS,Her Majesty Queen Elizabeth II—Platinum Jubilee,2022-02-09 14:01:28
FIREARMS PROHIBITION ORDERS LEGISLATION BILL,First Reading,2022-02-09 17:27:43
CONVERSION PRACTICES PROHIBITION LEGISLATION BILL,In Committee,2022-02-09 19:49:14
LAND TRANSPORT (DRUG DRIVING) AMENDMENT BILL,In Committee,2022-02-09 21:25:08
VOTING,Correction—Conversion Practices Prohibition Legislation Bill,2022-02-09 21:54:28
SPEAKER'S RULINGS,Conversion Practices Prohibition Legislation Bill—Voting,2022-02-08 19:00:00
CONVERSION PRACTICES PROHIBITION LEGISLATION BILL,Second Reading,2022-02-08 19:03:46
SPEAKER'S STATEMENTS,Reminder to Members—Email,2022-02-08 21:00:01
LAND TRANSPORT (CLEAN VEHICLES) AMENDMENT BILL,Second Reading,2022-02-08 21:00:30
COVID-19 ORDERS,Approval,2021-12-15 15:02:58
EDUCATION AND TRAINING AMENDMENT BILL (NO 2),First Reading,2021-12-15 09:00:31
ORANGA TAMARIKI AMENDMENT BILL,First Reading,2021-12-15 10:02:01
SECURITY INFORMATION IN PROCEEDINGS LEGISLATION BILL,First Reading,2021-12-15 10:58:54
GAMBLING (REINSTATING COVID-19 MODIFICATION) AMENDMENT BILL,First Reading,2021-12-15 11:47:55
SPEAKER'S STATEMENTS,Te Reo Māori Interpretation—Question Time,2021-12-14 14:00:48
MANIAPOTO CLAIMS SETTLEMENT BILL,First Reading,2021-12-14 15:00:18
MANIAPOTO CLAIMS SETTLEMENT BILL,First Reading,2021-12-14 16:06:47
VOTING,Correction—Extended Sitting Motion,2021-12-14 16:05:33
RESOURCE MANAGEMENT (ENABLING HOUSING SUPPLY AND OTHER MATTERS) AMENDMENT BILL,Third Reading,2021-12-14 16:49:10
SEXUAL VIOLENCE LEGISLATION BILL,Third Reading,2021-12-14 19:13:34
SPECIAL DEBATES,In Committee,2021-12-14 20:01:38
ACCIDENT COMPENSATION (MATERNAL BIRTH INJURY AND OTHER MATTERS) AMENDMENT BILL,First Reading,2021-12-14 20:50:19
SUBORDINATE LEGISLATION CONFIRMATION BILL,Second Reading,2021-12-09 14:54:00
"BIRTHS, DEATHS, MARRIAGES, AND RELATIONSHIPS REGISTRATION BILL",Third Reading,2021-12-09 15:02:17
EDUCATION AND TRAINING AMENDMENT BILL,Third Reading,2021-12-09 16:14:54
ORANGA TAMARIKI AMENDMENT BILL,First Reading,2021-12-09 16:50:55
COVID-19 PUBLIC HEALTH RESPONSE ACT 2020,Continuation,2021-12-09 09:00:20
RESOURCE MANAGEMENT (ENABLING HOUSING SUPPLY AND OTHER MATTERS) AMENDMENT BILL,In Committee,2021-12-09 09:51:37
SEXUAL VIOLENCE LEGISLATION BILL,In Committee,2021-12-09 12:31:19
EDUCATION AND TRAINING AMENDMENT BILL,Third Reading,2021-12-09 12:52:22
OBITUARIES,Wiki Mulholland,2021-12-08 14:01:29
PALMERSTON NORTH RESERVES EMPOWERING AMENDMENT BILL,First Reading,2021-12-08 16:07:49
CANTERBURY REGIONAL COUNCIL (NGĀI TAHU REPRESENTATION) BILL,First Reading,2021-12-08 17:05:00
RIGHTS FOR VICTIMS OF INSANE OFFENDERS BILL,Consideration of Report of Justice Committee,2021-12-08 19:01:13
INTERVENTIONS,Unparliamentary Language—Apology,2021-12-08 19:13:36
RIGHTS FOR VICTIMS OF INSANE OFFENDERS BILL,In Committee,2021-12-08 19:14:30
MOTIONS,Black Caps—Ajaz Patel's Success,2021-12-07 14:01:26
URGENT DEBATES,COVID-19 Response—Report into Deaths in Self-Isolation,2021-12-07 15:02:53
OFFICES OF PARLIAMENT,Address to Governor-General,2021-12-07 15:04:31
