Speech_Content_ID,Type,Name,Text,Speech_Time
20,a,Ginny Andersen,"We are here to debate the declaration of inconsistency relating to the voting age for both parliamentary and local elections, the Justice Committee's report on the declaration, and the Government's response to the declaration. This is the first time the House has followed the new procedures in the New Zealand Bill of Rights Act for responding to a declaration of inconsistency. A declaration of inconsistency is a formal statement by a court or tribunal that an Act is inconsistent with fundamental human rights, protected by the New Zealand Bill of Rights Act 1990. In November 2022, the Supreme Court issued a declaration of inconsistency, stating that the voting age as 18, set out on the Electoral Act 1993 and the Local Electoral Act 2001 is inconsistent with the New Zealand Bill of Rights Act and the inconsistency had not been justified. The inconsistency arises because the New Zealand Bill of Rights Act sets out to be free from discrimination on the basis of age for those aged 16 and older.",29/08/2023 16:05
21,a,Ginny Andersen,"I would like to thank the Justice Committee for its report on the declaration. The committee received over 500 submissions and heard from 23 submitters. The committee recommended by majority that the Government amend the Local Electoral Act and investigate lowering the minimum voting age in general elections to 16. The majority said that the right to be free from age discrimination should only be limited by good justifications. Both the majority of the committee and the Supreme Court cited evidence provided by the Office of the Children's Commissioner in its report to the High Court. The evidence cited is that people in their mid-teens are generally able to make deliberative decisions such as voting decisions, even if their ability to make more emotionally charged decisions remains underdeveloped. The majority on the committee also discussed the potential for a younger voting age to instil life-long voting habits.",29/08/2023 16:05
22,a,Ginny Andersen,"On 14 August, the Minister of Local Government and I tabled the Government response to the declaration. After considering the declaration of inconsistency and the report produced by the Justice Committee, it is the Government's view that the inconsistency should be eliminated to the extent possible. As part of the Government response, the Minister of Local Government introduced the Electoral (Lowering Voting Age for Local Elections and Polls) Legislation Bill. This bill will lower the voting age to 16 for local elections only.",29/08/2023 16:05
23,a,Ginny Andersen,"There are strong arguments in favour of lowering the voting age: 16- and 17-year-olds are far more likely to be living at home, be connected to their community, and have a stable address than those just a few years older. New Zealand, along with the rest of the world, is facing significant issues such as climate change. Young people need to be involved in conversations about these issues and their views need to be heard, including through the ballot box.",29/08/2023 16:05
24,a,Ginny Andersen,"I know there are some concerns about whether 16- and 17-year-olds are old enough for this sort of responsibility, but let's stop and think about some of the things we already allow 16-year-olds to do. Sixteen-year-olds can be held criminally responsible for breaking the law, they can choose to leave home, they can choose where they want to live, choose to leave school, choose to refuse medical treatment, apply for a drivers licence, apply for a firearms licence, and get an adult passport, and yet we don't allow them to vote for their local councillor.",29/08/2023 16:05
25,a,Ginny Andersen,"As signalled by the Prime Minister in March of this year, the Government has decided to focus on lowering the voting age for local elections only. The bill reflects the differences between how the voting age is set out in legislation. The provisions of the Electoral Act that set the voting age at 18 for parliamentary elections can only be amended if 75 percent of members in the House agree or there is a majority in a referendum. Preparing and progressing a bill that has no prospect of being passed into law would be a costly and time consuming exercise that would not lead to any practical change. In contrast, the voting age for local government elections can be amended by a simple majority. That is why the Government has decided to focus on a bill that lowers the voting age to 16 for local elections only. I hope that members will take a rights and evidence - based approach to the future debate on this bill. We stand here as representatives of all our constituents, not just the ones that are eligible to vote for us.",29/08/2023 16:05
26,a,Ginny Andersen,"Lastly, I would like to acknowledge Make It 16, the advocacy group that initiated this case in the courts and the many other groups and individuals who have been calling on the voting age to be lowered for some time. The advocacy by youth on this issue shows that young people can lead important conversations about the changes that directly impact upon them and I commend them for this work.",29/08/2023 16:05
27,Speech,Deputy Speaker, The question is that the motion be agreed to.,29/08/2023 16:12
28,Speech,Assistant Speaker," Members, the result of the vote on the question that the House take note of the Declaration of inconsistency: Voting age in the Electoral Act 1993 and the Local Electoral Act 2001 was incorrectly recorded as Ayes 96, Noes, 10. The correct result is Ayes 106, Noes 10.",29/08/2023 19:30
29,Speech,Deputy Speaker," Just before we go into the next bill, members, when the House was in committee on the Fuel Industry (Improving Fuel Resilience) Amendment Bill, the result of the vote on the question that the question be now put was incorrectly reported as Ayes 71, Noes 44. The correct result is Ayes 72, Noes 44. The record will be corrected accordingly.",24/08/2023 11:56
30,Speech,Tim Van De Molen," Point of order, Mr Speaker. I seek leave to make a personal statement. ",24/08/2023 14:00
31,Speech,Speaker, Leave is sought for that purpose. Is there any objection? There appears to be none.,24/08/2023 14:00
32,ContinueSpeech,Tim Van De Molen," Thank you, Mr Speaker. Today, the Privileges Committee has presented its report into the question of privilege concerning my conduct towards the chairperson of the Transport and Infrastructure Committee. The Privileges Committee has found my actions to be a contempt of Parliament, and when Parliament sits next week, I will be censured.",24/08/2023 14:00
33,a,Speaker,"Members of Parliament and parliamentary staff should be able to carry out their duties in a stable environment. The report from the Privileges Committee makes it clear that my conduct after the select committee on 29 June had an impact on others that I had not appreciated. Although I have a different recollection of some aspects of the incident, I completely accept the findings of the committee. I apologise to all those who were in the room but specifically to Mr Halbert, who was most impacted by my conduct. I am horrified at the thought of my conduct having been perceived as threatening. This is not at all in my nature, and I've enjoyed working constructively with MPs from across the House. Obviously, in this instance, I have fallen short of my own expectations and the expectations of the House. ",24/08/2023 14:00
34,a,Speaker,"No one should feel threatened in their workplace, and it was certainly not my intent to threaten Mr Halbert. Regardless, my conduct was not appropriate, and it should not have happened. I would also like to apologise specifically to the select committee staff, who do a wonderful job for us all. I'd like to thank the many MPs that have offered their support through this process. And, finally, I would also like to extend an apology to all members of this House for the impact my actions may have on the perception of parliamentarians and of this House. ",24/08/2023 14:00
35,Speech,Michael Wood, I seek leave to make a personal statement.,23/08/2023 14:58
36,Interjection,Speaker, Leave is sought for that purpose. Is there any objection? There is none. ,23/08/2023 14:58
37,ContinueSpeech,Michael Wood, The Privileges Committee has tabled its report into my compliance with the requirements of Appendix B of the Standing Orders. I thank the committee for their work on this issue.,23/08/2023 14:58
38,a,Michael Wood,"Their report confirms that I should have declared the shares I personally owned in the 2017 to 2021 period, and that I should have corrected the register of pecuniary interests after I did correctly declare them in 2022 and 2023. I have previously acknowledged this and I would now like to take the opportunity to unreservedly apologise to the House. As the committee notes, this was an error on my part and I deeply regret it. I've learnt a clear lesson: in an intense and all-consuming job I lost sight of the importance of these matters and I will prioritise complete compliance in this area as I continue my work in the Parliament. ",23/08/2023 14:58
39,a,Michael Wood,"Again, I thank the Privileges Committee for their considered report on this matter; it points to a number of areas which I believe will be useful to all members. I also take this opportunity to thank a number of members from across the House who have been supportive of me in what has been a challenging issue to deal with.",23/08/2023 14:58
40,Speech,Michael Woodhouse," Point of order, Mr Speaker. Thank you, Mr Speaker. I've been made aware of an error in the vote on the Taxation Principles Reporting Bill second reading, where the National Party opposed the amendments recommended by the Finance and Expenditure Committee but the motion that the bill be read a second time was passed on the voices. I seek leave for the vote to be recorded for National as 30 votes opposed on the substantive motion.",17/08/2023 11:14
41,Interjection,Deputy Speaker, Leave is sought to hold a party vote on the Taxation Principles Reporting Bill. Is there any objection?,17/08/2023 11:14
42,Speech,Shanan Halbert, Just objection—speaking to that point of order. My understanding is that we would need—,17/08/2023 11:15
43,Interjection,Deputy Speaker, I take it there is objection.,17/08/2023 11:15
44,ContinueSpeech,Shanan Halbert, Yes.,17/08/2023 11:15
45,Interjection,Deputy Speaker, There is objection.,17/08/2023 11:15
46,Speech,Michael Woodhouse," Point of order. I think the member, Mr Halbert, was going to inform the House that a correction of the record in this way is not possible. But actually, the House is the architect of its own destiny, and I think the way in which you put the leave was much better than I had sought it, which was to simply hold a party vote. That's still within the prerogative of the House, and I just want to make sure that Mr Halbert is aware of that before declining leave.",17/08/2023 11:15
47,Speech,Deputy Speaker," Well, what I'll allow you to do is to ask for leave. Leave is sought. Is there any objection? There is.",17/08/2023 11:15
48,Speech,Nicole Mckee," Point of order, Mr Speaker. Thank you, Mr Speaker. The ACT Party seeks leave to also amend their vote in the final vote for the Taxation Principles Reporting Bill as well, if we may, please, Mr Speaker.",17/08/2023 11:16
49,Speech,Deputy Speaker, Leave is sought for that purpose. Is there any objection? There is objection.,17/08/2023 11:16
50,Speech,Camilla Belich," Point of order. Unfortunately, I wasn't in the House when the points of order around this first occurred, but my understanding is that my colleague was clarifying to you, Mr Speaker, that because the bill has been decided, a vote can't be taken but an option might be to record the other parties' opposition within the journals. I'm advised that that's the appropriate way—because the vote has been decided—that this should be dealt with.",17/08/2023 11:16
51,Speech,Deputy Speaker," I'll just take some advice on that. Just in relation to the point of order, I'm advised that that is not an option because there was no party vote. However, since there seems to be a desire to see a way through this, what I'll do is I'll ask the Hon Michael Woodhouse to put that request again.",17/08/2023 11:17
52,Speech,Michael Woodhouse, I seek leave for a party vote to be held on the Taxation Principles Reporting Bill second reading.,17/08/2023 11:19
53,Speech,Deputy Speaker, Is there any objection? There is objection.,17/08/2023 11:19
54,Speech,Joseph Mooney," I raise a point of order, Madam Speaker. I seek leave for it to be recorded in the Journals of the House of Representatives that National and ACT would have cast a party vote against the second reading of the Taxation Principles Reporting Bill if such a vote had been held.",17/08/2023 12:34
55,Speech,Assistant Speaker, Leave is being sought for it to be recorded in the Journals of the House of Representatives that National and ACT would have cast a party vote against the second reading of the Taxation Principles Reporting Bill if such a vote had been held. Is there any objection? There is none.,17/08/2023 12:34
56,Speech,Eugenie Sage," Point of order. Thank you, Madam Speaker. Could I seek leave to correct the voting record for the Spatial Planning Bill?",16/08/2023 19:00
57,Speech,Assistant Speaker, Leave is sought for that purpose. Is there any objection? There is none.,16/08/2023 19:00
58,Speech,Eugenie Sage," Te Paati Māori, two votes opposed; Meka Whaitiri, one vote opposed. Thank you.",16/08/2023 19:00
59,Speech,Ginny Andersen," Point of order, Mr Speaker. I seek leave to make a personal explanation to correct an answer to an oral question to No. 8 today.",16/08/2023 23:06
60,Speech,Deputy Speaker," Leave is sought, is there any objection? There is no objection.",16/08/2023 23:06
61,ContinueSpeech,Ginny Andersen, In the response to a supplementary question I stated that 48 vehicles were seized in Ōpōtiki and the Manawatū under new legislation. I should have said that the 48 vehicles were searched.,16/08/2023 23:06
62,Speech,Speaker," Members, I have received a letter from Erica Stanford seeking to debate, under Standing Order 399, a recent case of migrant exploitation that was reported last night in Auckland. An urgent debate is a way of holding the Government accountable for an action for which it is responsible—Speaker's ruling 200/4. The application does not disclose any Government action on the matter. Indeed, it notes that the Government has made no formal statements in relation to these events. The application is therefore declined.",7/06/2023 14:56
63,Speech,Chairperson," Members—quietly, please—the House is in committee for further consideration of the Appropriation (2023/24 Estimates) Bill. The Business Committee has determined to organise the debate by portfolio so there'll be no sector specific debates. ",15/08/2023 14:57
64,a,Chairperson,"All votes are available for debate but only specific Ministers will be available each day to speak to the indicated portfolios only. The Government has indicated that the Minister of Local Government, the Minister of Justice, and the Minister of Transport will be available today. I understand that the relevant select committee chairpersons have indicated they do not wish to take calls to commence the debates.",15/08/2023 14:57
65,a,Chairperson,"This debate expires after 11 hours, at which point questions will be put that the vote stand part of the schedules and on the provisions of the Appropriation (2023/24 Estimates) Bill. There are two hours 29 minutes remaining in this debate. New Zealand Labour has 30 minutes remaining; New Zealand National has one hour 20 minutes remaining; ACT New Zealand has 22 minutes remaining; the Green Party of Aotearoa New Zealand has 13 minutes remaining; Te Paati Māori has 11 minutes remaining; Dr Elizabeth Kerekere has six minutes remaining; the Hon Meka Whaitiri has six minutes remaining.",15/08/2023 14:57
66,a,Chairperson,The Estimates debate should be relevant to the Government's current spending plans as contained in the Estimates of appropriations. A compendium of the reports of select committees on the votes is available on the Table. The committee will be suspending at 5 p.m. for valedictory statements and will be sitting again after the dinner break.,15/08/2023 14:57
67,a,Chairperson,"The question, once again, is that the votes contained in the Estimates of appropriation for 2023/24 stand part of the schedules. We start with the Minister of Local Government. The Minister is available from 3 p.m. till 4 p.m.",15/08/2023 14:57
68,Speech,Marama Davidson," Point of order, Mr Speaker. I seek leave to make a personal statement to correct something that I said a couple of nights ago during the committee stage of the Appropriation (2023/24 Estimates) Bill debate. ",3/08/2023 14:48
69,Interjection,Speaker, Leave is sought for that purpose. Is there any objection? There appears to be none.,3/08/2023 14:48
70,ContinueSpeech,Marama Davidson," A couple of nights ago, I said that ""the actual funds have already been devolved out to Te Matapihi and Arohanui ki te Tāngata."" as part of He Ara Hiki Mauri. What I meant to say is that the decision-making authority over the funding will be devolved out to the parties. The funds will be paid out in due course through usual contracting processes.",3/08/2023 14:48
71,Speech,Judith Collins," I move, That the House take note of the report of the Regulations Review Committee on the Inquiry into COVID-19 Secondary Legislation.",3/08/2023 14:49
72,a,Judith Collins,"This is the report of the Regulations Review Committee which has been tabled in Parliament, and that report is into the Inquiry into COVID-19 Secondary Legislation. I'd like to—",3/08/2023 14:49
73,Interjection,Speaker," Sorry. I'm terribly sorry to interrupt the member, but I would like members to leave quickly and quietly. This is an important debate and I'd like to hear it. I think we'll reset the clock and we will start this again.",3/08/2023 14:49
74,ContinueSpeech,Judith Collins," Thank you, Mr Speaker. I move, That the House take note of the report of the Regulations Review Committee on the Inquiry into COVID-19 Secondary Legislation. This is the report of the Regulations Review Committee into the Inquiry into COVID-19 Secondary Legislation.",3/08/2023 14:49
75,a,Judith Collins,"First off, I would like to thank all the committee members as are listed on page 40 of the report, and the submitters as listed in the report. Particular thanks to Jason McHerron, the barrister who provided advice and substantial assistance in drafting the report. Finally, I'd like to thank the clerk and the officials and advisers of the Regulations Review Committee. We lean very heavily upon them and we are routinely impressed with their diligence and their expertise. We are fortunate to have them.",3/08/2023 14:49
76,a,Judith Collins,"We would also like to—well, I would certainly like to—acknowledge that this was a very painful time for many people in New Zealand. A very painful time when they felt, in some cases, disunited or excluded. This is time for us to bring people back together, and I believe that the role of the Regulations Review Committee in our report is something that will give people heart.",3/08/2023 14:49
77,a,Judith Collins,"The role of the committee is that we do not review policy, but we do look at the secondary legislation and to see if it is made in accordance with its empowering provision and consistently within constitutional principles. Therefore, it is a very serious report and it is a report that I consider is actually one of the more important reports that we're going to see on COVID-19, bearing in mind we also have a royal commission as well—so put that to one side.",3/08/2023 14:49
78,a,Judith Collins,"So when looking at this, I think one of the things that impressed me the most was how poorly some Government ministries and departments actually took the role of providing good secondary legislation, and then complying with the constitutional arrangements, seriously. Now, I understand and I think we can all acknowledge that, in many cases, the Ministry of Health, the main agency in this, was under an extreme amount of stress; that they were dealing with a situation that they had not seen before—certainly not in the lifetimes of the Director-General or others—and that they were rushing.",3/08/2023 14:49
79,a,Judith Collins,"The problem—and I'm sure that members, when they wish to read the report, will understand—is that if the secondary legislation is being drafted by ministries themselves rather than Parliamentary Counsel Office, there is often not the expertise in the ministry to be able to draft clearly and within the rules that are expected of legal drafting. That was really clear.",3/08/2023 14:49
80,a,Judith Collins,"It was also clear that things seemed to not get better but worse as matters went on. When I think to the criticism of the COVID-19 Response (Vaccinations) Legislation Act—which was actually introduced on 23 November 2021 and had its first, second, and third readings on the same day—that bill received Royal assent two days later on 25 November, and that was actually really almost two years after the full first brunt of the pandemic had hit us. That bill did not go to a select committee. It did not go to the Regulations Review Committee. It was not given the sort of scrutiny that people should expect. I think it would be wrong to say that there was urgency. It was very unfortunate that this happened.",3/08/2023 14:49
81,a,Judith Collins,"When we look at—commonly known as—the traffic light system that was introduced, it could have taken another week or two or three, or even a month to bring that in. It's not as though we suddenly found in November 2021 that there was a pandemic. We're actually near the end of the worst part of it, and I think many people in this House, like myself, have had COVID a few times because, actually, the virus has moved on. It has become more transmittable and less harmful for many people.",3/08/2023 14:49
82,a,Judith Collins,"The Attorney-General, the Government's own Attorney-General—or Parliament's Attorney-General—criticised it at the time by saying it should have been sent to a select committee. He was right, it should have been. It wasn't. Instead, what we see in that legislation is that it actually referred to—and the regulations coming from it—referred to all sorts of terms that are unknown at law. Terms like ""guidance""—that's not a legal term. Terms like ""traffic lights"". Well, traffic lights are known at law as ""traffic lights"". It was legislation that might have been drafted by the communications team. It was simply not up to scratch, and nor were the regulations from it.",3/08/2023 14:49
83,a,Judith Collins,"It would have been better, and that's really clear from the review in the inquiry—and I have to say, too, we take a very non-political approach in this: not apolitical, non-political; we work across parties. It would have been much better if people who knew how to draft legislation were drafting it—whether it's that particular Act or if it's the regulations coming from it. It would have been better if it was less focused on communications rather than actually on the law, because there were instances where people could have been imprisoned under this legislation and the regulations without very clear guidance from the legislation. In other words, very clear words.",3/08/2023 14:49
84,a,Judith Collins,"In addition to that, we have made some pretty strong statements about the quality of drafting by the Ministry of Health. That is what's happened: we've, over the years, enabled ministries and departments to draft their own regulations for legislation that this Parliament has passed. There's a big problem with that, apart from the quality of drafting. That big problem is, where does one find it? Because what tends to happen is it's put on the website of that ministry or that department—or not; it might not be put there. Or if it is, it might be unclear. It might have been put up because the people who put up or load up upload the information to the website are not necessarily people who understand constitutional law or even the necessity of having it there.  Constitutional lawyers are not normally marketers, comms people, or people who know about those sorts of things. They tend to take things quite seriously for a reason.",3/08/2023 14:49
85,a,Judith Collins,"Then we have, as opposed to that, Parliamentary Counsel Office drafting where its regulations are put on the Legislation website. I would suggest that that is a good idea: that all regulations—all secondary legislation—where people can be subjected to rules should be in one place. We already have a website; we already have a place. It's called legislation.govt.nz. It is freely available to everybody. That's where it should be, in my opinion, and I think that the committee would be of that view. Because that is one place you should go.",3/08/2023 14:49
86,a,Judith Collins,"We should not have to have people wondering what the law is as they're being arrested for breaching it. We know that ignorance of the law is no excuse at law. But if you can't even find the legislation—the law—that you're accused of having breached, how could you possibly be found guilty under it? The answer is, I think we're quite lucky not to have had more court cases on this. Because, frankly, I think if we were not in a pandemic situation, there would have been more cases on this. If the cost of actually bringing cases wasn't so expensive, we would have had more cases.",3/08/2023 14:49
87,a,Judith Collins,"So there's some things that we need to do and we've seen reviews in this. This review has been ongoing, really, for quite some time. But bring ourselves back to this. We should not have regulation without people knowing what it is. Regulation should not be made willy-nilly of whether or not they're authorised by the primary legislation.",3/08/2023 14:49
88,a,Judith Collins,"It has to follow a format, and there's a reason. It's not because we're being pernif—I can't even say it now—it's not because we're being difficult about it. It's actually because this matters. Law matters. Parliament matters. We cannot simply continue down a path of ministries and departments deciding they'll have the law that they'd quite like, and that's really going to spin well. Come back to the law. Thank you.",3/08/2023 14:49
89,Speech,Assistant Speaker, The question is that the motion be agreed to. ,3/08/2023 15:00
90,Speech,Chairperson," Kia orana, members. The House is in committee for further consideration of the Appropriation (2023/24 Estimates) Bill. The Business Committee has determined to organise the debate by portfolio, so there will be no sector specific debates. All votes are available for debate, but only specific Ministers will be available each day to speak to the indicated portfolios only. The Government has indicated that today we have the Minister for Children, the Minister for Oceans and Fisheries, and the Minister for Social Development and Employment. Each debate will be led by a call from the chairperson or member of the committee that considered the Estimates most closely related to the Minister's portfolios.",3/08/2023 15:47
91,a,Chairperson,"This debate expires after 11 hours, at which point questions will be put that the votes stand part of the Schedules and on the provisions of the Appropriation (2023/24) Estimates Bill. There are four hours and 29 minutes remaining in this debate. New Zealand Labour has one hour, 47 minutes remaining. The New Zealand National Party has one hour, 33 minutes remaining. ACT New Zealand has 30 minutes remaining. The Green Party of Aotearoa New Zealand has 31 minutes remaining. Te Paati Māori has 11 minutes remaining. Dr Elizabeth Kerekere has six minutes remaining, and the Hon Meka Whaitiri has six minutes remaining.",3/08/2023 15:47
92,a,Chairperson,The Estimates debate should be relevant to the Government's current spending plans as contained in the Estimates of Appropriation. A compendium of the reports of select committees on the votes is available on the Table.,3/08/2023 15:47
93,a,Chairperson,"The question, once again, is that the votes contained in the Estimates of Appropriation for 2023–2024 stand part of the Schedules. Members, we start with the Minister for Children. The Minister is available from 3.50 p.m. until 4.20 p.m.",3/08/2023 15:47
94,Speech,Speaker," Members, earlier in today's sitting—which was yesterday—when the House was considering the motion for the extended sitting, the result of the vote on the question was incorrectly recorded as Aye 73, Noes 44. The correct result is Ayes 74, Noes 44. The record will be corrected accordingly.",3/08/2023 9:26
95,Speech,Willow-Jean Prime, Point of order. I seek leave to make a personal explanation to correct an answer to an oral question.,3/08/2023 9:26
96,Interjection,Speaker, Leave is sought for that purpose. Is there any objection? There appears to be none.,3/08/2023 9:26
97,ContinueSpeech,Willow-Jean Prime," I would like to correct an answer I gave in relation to oral question No. 3, supplementary No. 3 yesterday. While I was speaking about the Best Start Kōwae assessment tool and it being available to all, I wasn't clear that the incentive payments that are paid to the practitioner are paid when they use the assessment with individuals who identify as Māori.",3/08/2023 9:26
98,Speech,Chairperson," Members, we come first to the Appropriation (2023/24 Estimates) Bill. The Business Committee has determined to organise the debate by portfolio, so there will be no sector specific debates. All votes are available for debate, but only specific Ministers will be available each day to speak to the indicated portfolios only. The Government has indicated that the Minister of Police and the Minister of Finance will be available today. Each debate will be led by a call from the chairperson or member of the committee that considered the Estimates most closely related to the Minister's portfolios.",2/08/2023 15:53
99,a,Chairperson,"This debate expires after 11 hours, at which point questions will be put that the votes stand part of the Schedules and on the provisions of the Appropriation (2023/24 Estimates) Bill. There are six hours, 58 minutes remaining in this debate. New Zealand Labour has three hours, 18 minutes remaining. New Zealand National has two hours, 11 minutes remaining. ACT New Zealand has 42 minutes remaining. The Green Party of Aotearoa New Zealand has 32 minutes remaining. Te Paati Māori has 11 minutes remaining. Dr Elizabeth Kerekere has 6 minutes remaining, and Hon Meka Whaitiri has 6 minutes remaining.",2/08/2023 15:53
